,ref_s,ref_e,in_s,in_e,in_t,ref_t
0,100,169,100,170,3,2L
1,169,239,170,238,2E,2L
2,239,308,238,309,3,2L
3,308,378,309,377,3,2L
4,448,518,445,498,1L,2L
5,1321,1382,1321,1380,3,2L
6,1382,1446,1380,1444,1L,1L
7,1652,1723,1652,1723,3,2L
8,1723,1795,1723,1793,3,2L
9,1795,1867,1793,1867,3,2L
10,1935,2005,1935,1990,1L,2L
11,2075,2145,2073,2147,1,2L
12,2145,2214,2147,2216,3,2L
13,2214,2286,2216,2285,2L,1L
14,2286,2354,2285,2355,2E,2L
15,2426,2502,2426,2502,1,1L
16,2502,2581,2502,2582,1,2E
17,2581,2658,2582,2659,1,2L
18,2658,2732,2659,2733,2E,2L
19,2732,2805,2733,2806,2E,2L
20,2805,2879,2806,2880,3,2L
21,2879,2948,2880,2949,3,2L
22,2948,3018,2949,3017,3,2L
23,3018,3086,3017,3088,1,2L
24,3086,3156,3088,3156,3,2L
25,3156,3223,3156,3223,3,2L
26,3223,3288,3223,3290,2E,2L
27,3288,3351,3290,3353,2E,2L
28,3351,3425,3353,3426,1,2L
29,3425,3502,3426,3501,1,2L
30,3502,3581,3501,3581,1,2E
31,3581,3661,3581,3663,1,1L
32,3821,3897,3823,3897,3,2L
33,3897,3971,3897,3972,2E,2L
34,3971,4043,3972,4043,2E,2L
35,4043,4111,4043,4112,2E,2L
36,4111,4179,4112,4180,3,2L
37,4179,4246,4180,4247,3,2L
38,4246,4313,4247,4315,3,2L
39,4313,4382,4315,4382,2E,2L
40,4382,4451,4382,4452,3,2L
41,4451,4521,4452,4522,2E,2L
42,4521,4591,4522,4592,3,2L
43,4591,4662,4592,4664,3,2L
44,4662,4734,4664,4735,3,2L
45,4734,4804,4735,4805,2E,2L
46,4804,4873,4805,4875,2E,2L
47,4873,4943,4875,4944,2E,2L
48,4943,5010,4944,5011,3,2L
49,5010,5078,5011,5079,3,2L
50,5078,5147,5079,5147,2E,2L
51,5147,5217,5147,5218,2E,2L
52,5217,5286,5218,5287,2E,2L
53,5286,5355,5287,5356,3,2L
54,5355,5425,5356,5426,3,2L
55,5425,5496,5426,5496,3,2L
56,5496,5565,5496,5566,2E,2L
57,5565,5635,5566,5636,2E,2L
58,5635,5707,5636,5708,3,2L
59,5707,5780,5708,5781,3,2L
60,5780,5850,5781,5851,2E,2L
61,5850,5921,5851,5921,3,2L
62,5921,5992,5921,5992,3,2L
63,5992,6065,5992,6066,2E,2L
64,6065,6134,6066,6135,3,2L
65,6134,6207,6135,6208,3,2L
66,6207,6279,6208,6280,3,2L
67,6279,6350,6280,6351,2E,2L
68,6350,6417,6351,6418,2E,2L
69,6417,6484,6418,6485,3,2L
70,6484,6550,6485,6551,2E,2L
71,6550,6617,6551,6617,3,2L
72,6617,6684,6617,6685,3,2L
73,6684,6751,6685,6752,3,2L
74,6751,6819,6752,6819,2E,2L
75,6819,6888,6819,6889,1,2L
76,6888,6960,6889,6961,1,2L
77,6960,7032,6961,7032,3,2L
78,7032,7104,7032,7105,2E,2L
79,7104,7178,7105,7179,3,2L
80,7178,7250,7179,7251,3,2L
81,7250,7320,7251,7321,2E,2L
82,7320,7390,7321,7391,2E,2L
83,7390,7461,7391,7462,1,2L
84,7461,7530,7462,7531,2E,2L
85,7530,7598,7531,7599,2E,2L
86,7598,7665,7599,7666,3,2L
87,7665,7733,7666,7734,3,2L
88,7733,7800,7734,7800,2E,2L
89,7800,7867,7800,7868,2E,2L
90,7867,7936,7868,7936,3,2L
91,8430,8499,8430,8498,3,2L
92,8569,8634,8566,8634,3,2L
93,8634,8702,8634,8702,3,2L
94,8702,8773,8702,8772,3,2L
95,9066,9137,9066,9138,3,2L
96,9137,9204,9138,9206,3,2L
97,9270,9337,9268,9336,3,2L
98,9337,9404,9336,9402,3,2L
99,9404,9469,9402,9466,3,2L
100,9469,9536,9466,9534,3,2L
101,9536,9606,9534,9606,3,2L
102,9606,9677,9606,9674,3,2L
103,9677,9747,9674,9746,3,2L
104,9820,9891,9820,9892,3,2L
105,9891,9963,9892,9962,3,2L
106,9963,10032,9962,10030,3,2L
107,10032,10103,10030,10102,3,2L
108,10103,10174,10102,10174,3,2L
109,10174,10245,10174,10246,3,2L
110,10313,10383,10314,10382,3,2L
111,10383,10454,10382,10448,3,2L
112,10454,10524,10448,10524,3,2L
113,10524,10594,10524,10594,3,2L
114,10594,10664,10594,10666,3,2L
115,10664,10738,10666,10726,3,2L
116,10738,10810,10726,10802,3,2L
117,10879,10949,10864,10950,3,2L
118,10949,11022,10950,11022,3,2L
119,11022,11097,11022,11097,3,1L
120,11097,11173,11097,11172,3,2L
121,11173,11247,11172,11246,3,2L
122,11247,11320,11246,11320,3,2L
123,11320,11392,11320,11394,3,2L
124,11392,11464,11394,11458,3,2L
125,11464,11533,11458,11526,2L,2L
126,11533,11601,11526,11600,3,2L
127,11601,11670,11600,11668,3,2L
128,11670,11742,11668,11741,3,2L
129,11742,11816,11741,11816,3,2L
130,11816,11888,11816,11886,3,2L
131,11888,11961,11886,11960,3,2L
132,11961,12035,11960,12034,3,2L
133,12172,12242,12171,12243,3,2L
134,12242,12312,12243,12312,3,2L
135,12312,12385,12312,12384,3,2L
136,12385,12456,12384,12456,3,2L
137,12456,12530,12456,12514,3,2L
138,12530,12605,12514,12604,3,2L
139,12605,12680,12604,12682,3,2L
140,12680,12751,12682,12752,3,2L
141,12751,12821,12752,12821,3,2L
142,12821,12893,12821,12894,3,2L
143,12893,12962,12894,12960,3,2L
144,12962,13030,12960,13031,3,2L
145,13030,13099,13031,13098,3,2L
146,13099,13170,13098,13168,3,2L
147,13170,13239,13168,13239,3,2L
148,13239,13307,13239,13307,3,2L
149,13307,13379,13307,13378,3,2L
150,13379,13451,13378,13450,3,2L
151,13451,13524,13450,13514,2L,2L
152,13524,13594,13514,13594,3,2L
153,13594,13664,13594,13665,3,2L
154,13664,13735,13665,13733,3,2L
155,13735,13802,13733,13800,3,2L
156,13802,13868,13800,13868,2L,2L
157,13868,13935,13868,13935,3,2L
158,13935,14003,13935,14001,3,2L
159,14003,14073,14001,14072,3,2L
160,14073,14141,14072,14141,2L,2L
161,14141,14210,14141,14208,3,2L
162,14210,14281,14208,14280,3,2L
163,14281,14354,14280,14352,3,2L
164,14354,14426,14352,14426,3,2L
165,14426,14497,14426,14492,2L,2L
166,14497,14567,14492,14567,3,2L
167,14567,14637,14567,14636,2L,2L
168,14637,14704,14636,14703,3,2L
169,14704,14771,14703,14770,3,2L
170,14771,14839,14770,14839,3,2L
171,14839,14909,14839,14908,3,2L
172,14909,14980,14908,14979,3,2L
173,14980,15049,14979,15048,1L,2L
174,15049,15119,15048,15119,2E,2L
175,15119,15190,15119,15189,1L,2L
176,15190,15264,15189,15263,1L,1L
177,15264,15338,15263,15338,2E,2L
178,15338,15412,15338,15412,3,2L
179,15412,15485,15412,15484,3,2L
180,15692,15759,15690,15759,3,2L
181,15759,15823,15759,15823,2L,2L
182,15823,15888,15823,15887,2L,2L
183,15888,15952,15887,15952,2L,2L
184,15952,16014,15952,16014,3,2L
185,16014,16075,16014,16072,2L,2L
186,16075,16135,16072,16135,2L,2L
187,16135,16198,16135,16197,3,2L
188,16198,16263,16197,16261,3,2L
189,16263,16332,16261,16332,1L,2L
190,16332,16405,16332,16404,2L,2L
191,16405,16475,16404,16475,2L,2L
192,16475,16546,16475,16546,3,2L
193,16546,16619,16546,16619,3,2L
194,16619,16691,16619,16691,3,2L
195,16691,16759,16691,16758,3,2L
196,16759,16828,16758,16827,2L,2L
197,16828,16897,16827,16897,2L,2L
198,16897,16970,16897,16969,2L,2L
199,16970,17041,16969,17041,3,2L
200,17041,17113,17041,17112,3,2L
201,17113,17184,17112,17183,3,2L
202,17184,17255,17183,17256,1L,2L
203,17255,17328,17256,17329,3,2L
204,17328,17398,17329,17398,3,2L
205,17398,17467,17398,17466,3,2L
206,17467,17541,17466,17540,3,2L
207,17541,17616,17540,17617,1L,2L
208,17616,17694,17617,17693,2L,2L
209,17694,17769,17693,17768,3,2L
210,17769,17844,17768,17843,3,2L
211,17844,17919,17843,17918,3,2L
212,17919,17993,17918,17993,2L,2L
213,17993,18064,17993,18063,3,2L
214,18064,18135,18063,18135,3,2L
215,18135,18207,18135,18207,2L,2L
216,18207,18280,18207,18280,3,2L
217,18280,18351,18280,18352,1L,2L
218,18351,18425,18352,18425,3,2L
219,18425,18502,18425,18502,3,2L
220,18502,18578,18502,18579,3,2L
221,18578,18653,18579,18644,3,2L
222,18653,18727,18644,18726,3,2L
223,18727,18799,18726,18798,2L,2L
224,18799,18868,18798,18868,3,2L
225,18868,18934,18868,18933,3,2L
226,18934,19003,18933,18993,3,2L
227,19003,19073,18993,19072,3,2L
228,19073,19148,19072,19148,3,2L
229,19148,19223,19148,19222,3,2L
230,19223,19299,19222,19299,3,2L
231,19299,19376,19299,19375,2E,2L
232,19376,19451,19375,19451,3,2L
233,19451,19522,19451,19522,3,2L
234,19522,19593,19522,19592,2L,2L
235,19593,19664,19592,19664,2L,2L
236,19664,19736,19664,19736,2E,2L
237,19736,19807,19736,19807,2E,2L
238,19807,19876,19807,19876,2L,2L
239,19876,19944,19876,19944,2L,2L
240,19944,20012,19944,20012,2L,2L
241,20012,20082,20012,20082,2L,2L
242,20082,20154,20082,20154,3,2L
243,20154,20240,20154,20240,2E,2L
244,20240,20332,20240,20332,2E,2L
245,20332,20424,20332,20425,3,2L
246,20424,20512,20425,20512,2E,2L
247,20512,20599,20512,20597,2L,2L
248,20599,20681,20597,20680,2L,2L
249,20681,20758,20680,20758,3,2L
250,20758,20833,20758,20831,2L,2L
251,20833,20903,20831,20902,2L,2L
252,20903,20970,20902,20968,2L,2L
253,20970,21036,20968,21035,2L,2L
254,21036,21100,21035,21100,2L,2L
255,21100,21164,21100,21164,3,2L
256,21164,21229,21164,21228,2L,2L
257,21229,21295,21228,21294,2E,2L
258,21295,21362,21294,21361,3,2L
259,21362,21427,21361,21426,2L,2L
260,21427,21495,21426,21494,2L,2L
261,21495,21563,21494,21562,1L,2L
262,21563,21631,21562,21630,2L,2L
263,21631,21696,21630,21695,2L,2L
264,21696,21759,21695,21758,2L,2L
265,21759,21823,21758,21822,2L,2L
266,21823,21889,21822,21888,2L,2L
267,21889,21953,21888,21952,2L,2L
268,21953,22016,21952,22015,2L,2L
269,22016,22079,22015,22078,2L,2L
270,22079,22142,22078,22141,2L,2L
271,22142,22207,22141,22206,2L,2L
272,22207,22276,22206,22275,2L,2L
273,22276,22347,22275,22346,2L,2L
274,22347,22418,22346,22418,2L,2L
275,22418,22490,22418,22489,2L,2L
276,22490,22562,22489,22561,3,2L
277,22562,22635,22561,22634,2L,2L
278,22635,22707,22634,22707,2L,2L
279,22707,22779,22707,22778,2L,2L
280,22779,22850,22778,22849,2L,2L
281,22850,22919,22849,22919,2L,2L
282,22919,22986,22919,22985,2L,2L
283,22986,23054,22985,23053,2L,2L
284,23054,23123,23053,23122,3,2L
285,23123,23192,23122,23190,3,2L
286,23192,23258,23190,23258,2L,2L
287,23258,23326,23258,23325,2L,2L
288,23326,23396,23325,23395,2L,2L
289,23396,23464,23395,23463,3,2L
290,23464,23530,23463,23530,3,2L
291,23530,23597,23530,23596,3,2L
292,23597,23664,23596,23663,2L,2L
293,23664,23734,23663,23732,3,2L
294,23734,23801,23732,23800,2L,2L
295,23801,23870,23800,23870,2L,2L
296,23870,23940,23870,23939,2E,2L
297,23940,24009,23939,24009,3,2L
